,Crash Type,Collision Type,Crash Severity,Intersection Type,Crash ID,Crash Year
0,8,9,5.0, ,1449628,2012.0
5,3,0,4.0, ,1449632,2012.0
9,2,5,5.0,1,1449640,2012.0
14,B,1,4.0,1,1449642,2012.0
20,2,5,5.0, ,1449649,2012.0
25,2,1,5.0, ,1449655,2012.0
29,2,5,5.0, ,1449658,2012.0
33,2,5,5.0, ,1449661,2012.0
37,B,6,4.0,1,1449662,2012.0
43,B,1,5.0,1,1449663,2012.0
48,8,9,4.0, ,1449676,2012.0
53,E,3,4.0, ,1449679,2012.0
58,2,5,5.0, ,1449681,2012.0
63,B,1,4.0,1,1449686,2012.0
68,B,6,5.0,3,1449690,2012.0
73,B,1,4.0,1,1449691,2012.0
78,C,5,4.0, ,1449692,2012.0
83,B,1,5.0,1,1449721,2012.0
88,H,6,4.0,5,1449722,2012.0
93,B,6,5.0,3,1449723,2012.0
98,B,1,5.0,1,1449724,2012.0
103,3,0,4.0, ,1449725,2012.0
107,C,5,4.0, ,1449727,2012.0
112,3,0,4.0, ,1449729,2012.0
116,B,1,4.0,1,1449730,2012.0
122,E,3,5.0,3,1449732,2012.0
127,B,6,5.0, ,1449734,2012.0
132,E,3,4.0, ,1449739,2012.0
139,E,3,4.0,3,1449740,2012.0
145,B,6,5.0,1,1449741,2012.0
150,8,9,5.0,1,1449743,2012.0
153,E,3,4.0, ,1449748,2012.0
158,B,1,4.0,1,1449749,2012.0
165,6,6,4.0,3,1449752,2012.0
169,3,0,4.0,1,1449753,2012.0
173,B,1,4.0,1,1449758,2012.0
178,2,4,4.0, ,1449759,2012.0
182,B,1,4.0,1,1449761,2012.0
187,E,3,4.0,1,1449762,2012.0
193,B,1,5.0,1,1449764,2012.0
198,B,1,5.0,4,1449765,2012.0
203,E,3,4.0, ,1449773,2012.0
212,C,5,5.0, ,1449774,2012.0
217,C,5,5.0, ,1449778,2012.0
222,C,5,4.0, ,1449783,2012.0
229,C,5,4.0, ,1449785,2012.0
235,C,3,5.0, ,1449793,2012.0
240,E,3,4.0,3,1449797,2012.0
245,B,1,5.0,1,1449799,2012.0
251,E,3,4.0,3,1449805,2012.0
256,H,6,5.0,1,1449810,2012.0
261,E,3,5.0, ,1449818,2012.0
266,E,3,4.0, ,1449823,2012.0
273,E,3,5.0, ,1449859,2012.0
278,B,1,4.0,1,1449867,2012.0
284,B,1,4.0,1,1449872,2012.0
289,3,0,4.0,1,1449883,2012.0
293,2,5,5.0,1,1449917,2012.0
297,E,3,5.0,1,1449924,2012.0
302,2,3,5.0, ,1449930,2012.0
307,B,1,5.0,1,1449939,2012.0
312,B,1,5.0,1,1449947,2012.0
317,2,3,5.0, ,1449948,2012.0
322,B,1,4.0,1,1449951,2012.0
327,C,5,5.0, ,1449958,2012.0
332,B,6,5.0, ,1449963,2012.0
337,E,3,5.0, ,1449967,2012.0
344,H,6,4.0,1,1449971,2012.0
350,B,6,5.0,1,1449975,2012.0
355,A,1,5.0, ,1449977,2012.0
360,B,1,5.0,5,1449980,2012.0
365,E,3,4.0,1,1449981,2012.0
370,8,9,5.0,3,1449984,2012.0
373,2,3,5.0,3,1449985,2012.0
377,F,6,5.0,1,1449989,2012.0
382,8,9,5.0, ,1449990,2012.0
385,E,3,4.0,1,1449991,2012.0
391,B,1,5.0,1,1449992,2012.0
396,3,0,4.0,3,1449993,2012.0
400,8,9,4.0,3,1449995,2012.0
403,B,1,4.0,1,1449996,2012.0
408,B,1,5.0,1,1449997,2012.0
413,A,1,4.0,1,1449999,2012.0
418,E,3,4.0,1,1450000,2012.0
423,C,5,4.0,1,1450001,2012.0
428,C,5,5.0, ,1450005,2012.0
434,E,3,4.0,1,1450008,2012.0
439,C,3,4.0, ,1450011,2012.0
444,D,6,5.0,3,1450015,2012.0
449,E,3,4.0, ,1450016,2012.0
454,E,3,5.0,1,1450019,2012.0
459,E,3,4.0, ,1450024,2012.0
466,B,1,5.0,1,1450026,2012.0
471,E,3,4.0,1,1450032,2012.0
476,3,0,4.0,1,1450033,2012.0
480,7,&,5.0, ,1450037,2012.0
483,B,1,5.0,1,1450038,2012.0
488,B,6,4.0,1,1450042,2012.0
493,6,3,4.0, ,1450046,2012.0
499,B,6,4.0, ,1450047,2012.0
504,B,1,5.0,1,1450049,2012.0
509,B,6,5.0,3,1450053,2012.0
514,E,3,5.0, ,1450062,2012.0
520,B,1,4.0, ,1450068,2012.0
525,6,3,4.0,1,1450073,2012.0
529,E,3,5.0, ,1450081,2012.0
534,C,5,4.0, ,1450093,2012.0
540,E,3,4.0,1,1450097,2012.0
547,B,1,5.0,1,1450109,2012.0
553,C,5,5.0, ,1450111,2012.0
558,E,3,5.0,1,1450115,2012.0
563,3,0,4.0,1,1450118,2012.0
567,C,5,5.0, ,1450135,2012.0
572,B,1,4.0,1,1450138,2012.0
578,C,5,5.0, ,1450140,2012.0
583,E,3,5.0, ,1450141,2012.0
588,C,3,5.0, ,1450144,2012.0
595,H,6,5.0,6,1450146,2012.0
602,E,3,5.0,1,1450157,2012.0
607,E,3,4.0,1,1450160,2012.0
612,H,6,4.0,1,1450168,2012.0
617,C,5,5.0,1,1450172,2012.0
622,E,3,5.0,1,1450185,2012.0
627,G,4,5.0, ,1450186,2012.0
632,B,6,5.0, ,1450188,2012.0
637,B,6,5.0, ,1450189,2012.0
642,E,3,5.0, ,1450192,2012.0
647,G,2,5.0, ,1450194,2012.0
652,E,3,4.0, ,1450198,2012.0
657,B,1,5.0, ,1450201,2012.0
662,E,3,4.0,1,1450203,2012.0
667,H,6,5.0, ,1450207,2012.0
672,E,3,4.0,1,1450208,2012.0
677,2,2,5.0, ,1450209,2012.0
681,E,3,4.0, ,1450211,2012.0
686,C,5,5.0, ,1450213,2012.0
691,8,9,5.0, ,1450214,2012.0
694,B,1,5.0,1,1450217,2012.0
701,B,1,4.0,1,1450218,2012.0
706,9,9,4.0, ,1450219,2012.0
712,B,1,4.0,1,1450220,2012.0
719,E,3,4.0, ,1450222,2012.0
726,D,6,4.0,3,1450223,2012.0
731,E,3,4.0,1,1450224,2012.0
738,E,3,4.0,6,1450225,2012.0
746,8,9,4.0, ,1450226,2012.0
749,B,1,5.0,1,1450227,2012.0
754,B,1,4.0,1,1450229,2012.0
759,8,9,5.0, ,1450231,2012.0
762,C,5,5.0, ,1450232,2012.0
767,8,9,5.0, ,1450236,2012.0
770,B,1,5.0,1,1450237,2012.0
775,6,1,4.0, ,1450241,2012.0
779,E,3,4.0,1,1450246,2012.0
787,G,2,4.0, ,1450247,2012.0
793,H,6,5.0,3,1450250,2012.0
798,C,5,5.0, ,1450251,2012.0
803,E,3,5.0, ,1450254,2012.0
808,6,1,4.0,1,1450258,2012.0
812,E,3,4.0, ,1450259,2012.0
817,B,6,4.0, ,1450261,2012.0
822,E,3,4.0,3,1450263,2012.0
833,E,3,4.0, ,1450268,2012.0
840,E,3,5.0, ,1450278,2012.0
845,E,3,5.0,3,1450283,2012.0
852,B,1,4.0,1,1450289,2012.0
859,H,6,5.0, ,1450292,2012.0
864,D,6,5.0,5,1450294,2012.0
869,B,6,4.0,1,1450296,2012.0
874,C,5,5.0, ,1450303,2012.0
880,3,0,4.0, ,1450304,2012.0
884,8,9,4.0, ,1450306,2012.0
889,C,5,5.0, ,1450309,2012.0
894,B,1,5.0,1,1450317,2012.0
899,E,3,4.0, ,1450319,2012.0
904,8,9,5.0,1,1450321,2012.0
907,C,5,5.0,3,1450323,2012.0
912,B,1,5.0,1,1450325,2012.0
917,3,0,4.0,3,1450328,2012.0
921,8,9,4.0, ,1450333,2012.0
926,C,3,4.0, ,1450336,2012.0
933,B,6,4.0,3,1450337,2012.0
940,B,6,4.0,1,1450339,2012.0
953,H,6,4.0,1,1450340,2012.0
960,E,3,4.0, ,1450342,2012.0
967,6,6,4.0,3,1450344,2012.0
971,B,6,4.0, ,1450346,2012.0
976,6,6,4.0,1,1450348,2012.0
980,C,3,4.0, ,1450349,2012.0
986,E,3,4.0, ,1450350,2012.0
993,E,3,5.0, ,1450352,2012.0
998,B,1,5.0,1,1450353,2012.0
1003,B,1,4.0,1,1450356,2012.0
1011,E,3,5.0, ,1450358,2012.0
1016,H,6,4.0, ,1450359,2012.0
1021,J,6,5.0,1,1450362,2012.0
1027,E,3,5.0,3,1450368,2012.0
1032,D,3,5.0,3,1450371,2012.0
1037,E,3,4.0, ,1450372,2012.0
1042,E,3,5.0,1,1450376,2012.0
1048,E,3,4.0,3,1450378,2012.0
1053,E,3,5.0, ,1450380,2012.0
1060,E,3,5.0, ,1450381,2012.0
1065,B,6,5.0,3,1450383,2012.0
1070,C,5,5.0, ,1450385,2012.0
1075,E,3,5.0, ,1450388,2012.0
1080,E,3,4.0, ,1450390,2012.0
1088,D,6,4.0,1,1450391,2012.0
1093,I,-,4.0, ,1450392,2012.0
1098,E,3,4.0,1,1450394,2012.0
1104,8,9,4.0, ,1450398,2012.0
1107,E,3,5.0, ,1450407,2012.0
1112,B,6,5.0,1,1450409,2012.0
1117,E,3,5.0, ,1450413,2012.0
1124,C,3,4.0, ,1450419,2012.0
1133,D,6,4.0,1,1450424,2012.0
1138,8,9,4.0,1,1450426,2012.0
1141,B,1,5.0,1,1450427,2012.0
1148,E,3,4.0,3,1450429,2012.0
1153,C,3,4.0, ,1450433,2012.0
1158,C,3,5.0,1,1450445,2012.0
1163,B,6,4.0,3,1450448,2012.0
1168,8,9,4.0,1,1450452,2012.0
1171,3,0,4.0,1,1450457,2012.0
1175,E,3,4.0,1,1450460,2012.0
1180,F,7,4.0, ,1450464,2012.0
1186,H,6,5.0, ,1450477,2012.0
1191,C,5,5.0, ,1450480,2012.0
1196,C,5,5.0, ,1450481,2012.0
1201,E,3,4.0, ,1450488,2012.0
1210,E,3,4.0,3,1450503,2012.0
1215,B,6,4.0,1,1450504,2012.0
1220,B,6,5.0,1,1450510,2012.0
1225,E,3,4.0, ,1450514,2012.0
1230,B,1,5.0,1,1450516,2012.0
1235,H,6,4.0,1,1450517,2012.0
1240,B,1,4.0,1,1450518,2012.0
1245,B,6,5.0,3,1450519,2012.0
1250,E,3,4.0,1,1450521,2012.0
1255,E,3,4.0, ,1450523,2012.0
1264,H,6,4.0, ,1450524,2012.0
1271,H,6,4.0,1,1450525,2012.0
1276,E,3,4.0,1,1450534,2012.0
1281,E,3,4.0, ,1450547,2012.0
1287,B,6,5.0, ,1450562,2012.0
1294,H,6,4.0,1,1450565,2012.0
1299,E,3,4.0,1,1450567,2012.0
1304,E,3,4.0, ,1450570,2012.0
1311,B,1,5.0,1,1450581,2012.0
1316,E,3,4.0,1,1450588,2012.0
1323,8,9,4.0, ,1450601,2012.0
1326,E,3,4.0, ,1450603,2012.0
1331,E,3,4.0, ,1450607,2012.0
1339,B,6,4.0, ,1450655,2012.0
1344,E,3,4.0, ,1450656,2012.0
1351,C,5,5.0, ,1450657,2012.0
1357,E,3,4.0, ,1450658,2012.0
1362,B,6,4.0, ,1450661,2012.0
1367,E,3,4.0, ,1450664,2012.0
1372,C,5,5.0, ,1450668,2012.0
1377,E,3,4.0, ,1450672,2012.0
1382,E,3,5.0, ,1450677,2012.0
1387,E,3,5.0, ,1450678,2012.0
1392,D,6,4.0,1,1450681,2012.0
1400,B,6,5.0,3,1450685,2012.0
1405,E,3,5.0, ,1450688,2012.0
1410,B,6,5.0, ,1450692,2012.0
1415,E,3,4.0,3,1450694,2012.0
1420,B,1,5.0,1,1450695,2012.0
1425,B,6,5.0, ,1450718,2012.0
1430,E,3,4.0,1,1450726,2012.0
1435,8,9,5.0, ,1450735,2012.0
1438,H,6,4.0,1,1450741,2012.0
1444,E,3,5.0, ,1450743,2012.0
1449,B,6,4.0,1,1450745,2012.0
1454,E,3,5.0,1,1450750,2012.0
1459,B,6,4.0, ,1450753,2012.0
1466,E,3,5.0, ,1450754,2012.0
1471,B,1,5.0,1,1450759,2012.0
1476,B,1,5.0,1,1450763,2012.0
1481,8,9,4.0, ,1450773,2012.0
1484,8,9,5.0, ,1450774,2012.0
1487,H,6,4.0,1,1450777,2012.0
1492,B,7,5.0,1,1450779,2012.0
1497,C,5,5.0, ,1450785,2012.0
1502,C,3,4.0, ,1450788,2012.0
1508,C,5,5.0, ,1450789,2012.0
1513,C,3,4.0, ,1450793,2012.0
1518,B,6,4.0, ,1450794,2012.0
1524,C,3,4.0, ,1450800,2012.0
1529,8,9,5.0, ,1450801,2012.0
1532,8,9,5.0, ,1450804,2012.0
1535,E,3,4.0,3,1450805,2012.0
1544,E,3,4.0, ,1450806,2012.0
1552,B,1,5.0,1,1450807,2012.0
1557,6,6,4.0,1,1450809,2012.0
1561,B,6,4.0, ,1450810,2012.0
1566,E,3,4.0,1,1450812,2012.0
1571,E,3,4.0,1,1450813,2012.0
1576,E,3,4.0, ,1450815,2012.0
1582,H,6,5.0,1,1450816,2012.0
1589,H,6,5.0,1,1450817,2012.0
1594,D,6,5.0,1,1450818,2012.0
1599,H,6,4.0,1,1450819,2012.0
1604,2,4,5.0, ,1450820,2012.0
1608,8,9,5.0, ,1450822,2012.0
1611,A,6,5.0,3,1450823,2012.0
1616,E,3,5.0,1,1450825,2012.0
1621,B,6,5.0,3,1450826,2012.0
1626,F,6,5.0,5,1450828,2012.0
1632,B,1,5.0,1,1450829,2012.0
1637,H,6,5.0, ,1450831,2012.0
1642,H,6,5.0,4,1450832,2012.0
1647,E,3,4.0, ,1450834,2012.0
1652,B,1,4.0,1,1450839,2012.0
1660,B,6,4.0, ,1450842,2012.0
1665,E,3,5.0, ,1450844,2012.0
1670,E,3,5.0,1,1450848,2012.0
1675,B,1,4.0,1,1450850,2012.0
1681,E,3,5.0, ,1450853,2012.0
1686,B,1,5.0,1,1450857,2012.0
1693,3,0,4.0,1,1450859,2012.0
1697,G,2,4.0, ,1450862,2012.0
1702,B,6,5.0,3,1450863,2012.0
1707,2,3,4.0,3,1450865,2012.0
1712,B,6,4.0,1,1450867,2012.0
1717,B,1,4.0,1,1450871,2012.0
1722,B,1,5.0,1,1450874,2012.0
1728,C,3,4.0, ,1450878,2012.0
1733,E,3,4.0,1,1450883,2012.0
1738,E,3,4.0,1,1450887,2012.0
1746,2,5,5.0, ,1450896,2012.0
1750,G,4,4.0, ,1450901,2012.0
1757,C,3,4.0, ,1450905,2012.0
1763,B,1,5.0,1,1450914,2012.0
1769,B,1,4.0,1,1450918,2012.0
1774,I,-,5.0,1,1450925,2012.0
1779,E,3,4.0, ,1450948,2012.0
1787,H,6,4.0,3,1450952,2012.0
1794,E,3,4.0,1,1450959,2012.0
1801,3,0,4.0, ,1450979,2012.0
1805,2,6,5.0,1,1451094,2012.0
1809,B,6,4.0, ,1451096,2012.0
1814,E,3,4.0, ,1451097,2012.0
1819,E,3,5.0,1,1451098,2012.0
1824,E,3,4.0,1,1451101,2012.0
1832,&,8,4.0, ,1451103,2012.0
1836,B,1,5.0,1,1451106,2012.0
1841,2,3,5.0, ,1451109,2012.0
1845,2,7,5.0, ,1451110,2012.0
1849,C,5,4.0, ,1451112,2012.0
1854,B,6,5.0,1,1451114,2012.0
1859,G,2,5.0, ,1451115,2012.0
1864,2,3,5.0, ,1451116,2012.0
1868,C,5,5.0, ,1451117,2012.0
1874,E,3,4.0, ,1451118,2012.0
1879,8,9,4.0, ,1451119,2012.0
1882,B,6,4.0,3,1451120,2012.0
1891,E,3,5.0, ,1451121,2012.0
1898,C,5,5.0, ,1451122,2012.0
1903,B,-,5.0,3,1451124,2012.0
1908,C,5,4.0, ,1451126,2012.0
1918,E,3,4.0,1,1451129,2012.0
1930,H,6,4.0, ,1451130,2012.0
1935,B,1,4.0,1,1451133,2012.0
1941,D,3,4.0, ,1451138,2012.0
1947,B,6,4.0, ,1451140,2012.0
1952,B,1,5.0,1,1451143,2012.0
1959,C,5,4.0, ,1451146,2012.0
1965,8,9,5.0, ,1451149,2012.0
1968,B,1,4.0,1,1451151,2012.0
1973,3,0,4.0,1,1451153,2012.0
1977,B,1,4.0,1,1451154,2012.0
1982,C,3,5.0, ,1451155,2012.0
1987,B,6,4.0, ,1451160,2012.0
1992,E,3,4.0,3,1451173,2012.0
1997,E,3,4.0, ,1451176,2012.0
2002,E,3,4.0, ,1451184,2012.0
2015,H,6,5.0,5,1451190,2012.0
2020,E,3,5.0, ,1451193,2012.0
2025,B,1,5.0,1,1451196,2012.0
2030,8,9,5.0,1,1451198,2012.0
2033,B,6,5.0,1,1451201,2012.0
2038,B,1,5.0,1,1451205,2012.0
2043,D,6,5.0, ,1451207,2012.0
2048,E,3,5.0, ,1451212,2012.0
2053,6,1,4.0,1,1451215,2012.0
2057,B,1,5.0,1,1451225,2012.0
2062,E,3,4.0,3,1451228,2012.0
2067,E,3,5.0, ,1451232,2012.0
2072,E,3,4.0, ,1451233,2012.0
2079,E,3,5.0, ,1451236,2012.0
2084,E,3,4.0, ,1451259,2012.0
2091,E,3,4.0, ,1451263,2012.0
2096,B,1,5.0,1,1451276,2012.0
2101,E,3,5.0,1,1451279,2012.0
2106,3,0,4.0,1,1451280,2012.0
2110,B,1,5.0,1,1451283,2012.0
2115,8,9,5.0,3,1451285,2012.0
2118,8,9,4.0, ,1451286,2012.0
2121,B,1,5.0,1,1451288,2012.0
2127,G,4,5.0, ,1451289,2012.0
2132,E,3,5.0,1,1451294,2012.0
2139,C,5,4.0,1,1451296,2012.0
2145,E,3,4.0,1,1451298,2012.0
2150,E,3,4.0,1,1451299,2012.0
2155,C,5,4.0,1,1451304,2012.0
2160,B,6,4.0, ,1451307,2012.0
2165,E,3,4.0, ,1451308,2012.0
2172,E,3,5.0,1,1451309,2012.0
2177,H,6,5.0, ,1451310,2012.0
2182,B,6,5.0,1,1451311,2012.0
2187,2,-,5.0, ,1451313,2012.0
2191,2,7,5.0, ,1451314,2012.0
2195,6,1,4.0,1,1451315,2012.0
2199,B,1,5.0,1,1451316,2012.0
2204,E,3,4.0,1,1451317,2012.0
2209,J,6,4.0,1,1451318,2012.0
2216,E,3,5.0, ,1451321,2012.0
2221,B,1,5.0,1,1451324,2012.0
2226,H,6,4.0,1,1451325,2012.0
2231,H,6,5.0,1,1451327,2012.0
2236,E,3,4.0, ,1451330,2012.0
2244,C,3,5.0, ,1451331,2012.0
2249,8,9,5.0, ,1451334,2012.0
2252,2,3,5.0, ,1451335,2012.0
2257,3,0,4.0,1,1451338,2012.0
2262,G,2,5.0, ,1451343,2012.0
2267,B,1,5.0,1,1451344,2012.0
2272,H,6,5.0,1,1451346,2012.0
2277,H,6,4.0,3,1451347,2012.0
2282,E,3,4.0,1,1451348,2012.0
2287,E,3,4.0, ,1451349,2012.0
2292,E,3,4.0, ,1451350,2012.0
2297,8,9,5.0, ,1451353,2012.0
2300,C,5,5.0, ,1451355,2012.0
2305,E,3,5.0, ,1451357,2012.0
2310,2,3,5.0, ,1451360,2012.0
2314,E,3,4.0,1,1451364,2012.0
2319,E,3,4.0, ,1451366,2012.0
2325,F,6,5.0,1,1451372,2012.0
2330,8,9,5.0,1,1451373,2012.0
2333,2,3,5.0, ,1451377,2012.0
2337,E,3,4.0, ,1451379,2012.0
2343,B,1,4.0,1,1451382,2012.0
2351,E,3,4.0, ,1451384,2012.0
2356,E,3,4.0, ,1451386,2012.0
2361,A,6,5.0,3,1451387,2012.0
2366,E,3,5.0,3,1451390,2012.0
2371,E,3,4.0,1,1451392,2012.0
2379,H,6,5.0,1,1451394,2012.0
2384,2,5,5.0, ,1451396,2012.0
2388,B,1,4.0,5,1451397,2012.0
2393,8,9,5.0,3,1451409,2012.0
2396,7,&,5.0, ,1451410,2012.0
2399,B,6,4.0,1,1451413,2012.0
2408,G,2,4.0, ,1451419,2012.0
2413,D,6,5.0,1,1451421,2012.0
2418,E,3,5.0,1,1451424,2012.0
2423,3,0,4.0,1,1451425,2012.0
2427,B,1,4.0,1,1451427,2012.0
2432,E,3,5.0, ,1451428,2012.0
2437,E,3,5.0,1,1451430,2012.0
2442,8,9,5.0, ,1451436,2012.0
2445,8,9,5.0,1,1451439,2012.0
2448,B,6,4.0,3,1451442,2012.0
2455,E,3,4.0,1,1451444,2012.0
2463,8,9,4.0, ,1451445,2012.0
2468,8,9,5.0,5,1451446,2012.0
2471,2,3,5.0, ,1451449,2012.0
2475,E,3,4.0,1,1451450,2012.0
2480,D,6,5.0,3,1451451,2012.0
2485,B,-,5.0, ,1451452,2012.0
2490,E,5,5.0, ,1451453,2012.0
2495,B,1,4.0,1,1451454,2012.0
2500,8,9,5.0, ,1451456,2012.0
2503,E,3,4.0,1,1451458,2012.0
2508,B,1,5.0,1,1451459,2012.0
2513,E,3,4.0,1,1451460,2012.0
2519,I,-,4.0, ,1451462,2012.0
2524,6,1,4.0,1,1451463,2012.0
2528,2,5,5.0, ,1451464,2012.0
2532,B,6,4.0, ,1451467,2012.0
2537,B,6,5.0, ,1451471,2012.0
2542,E,3,5.0,3,1451473,2012.0
2547,B,6,4.0, ,1451478,2012.0
2552,B,6,5.0,3,1451488,2012.0
2557,C,5,5.0, ,1451492,2012.0
2562,E,3,5.0,1,1451499,2012.0
2567,8,9,5.0,3,1451556,2012.0
2570,B,1,5.0,1,1451557,2012.0
2575,E,3,4.0, ,1451559,2012.0
2580,8,9,4.0,3,1451560,2012.0
2583,E,3,5.0,1,1451561,2012.0
2588,E,3,5.0, ,1451565,2012.0
2593,2,3,5.0, ,1451568,2012.0
2597,G,2,4.0, ,1451573,2012.0
2606,8,9,4.0,1,1451577,2012.0
2609,C,5,5.0, ,1451581,2012.0
2614,E,3,5.0, ,1451585,2012.0
2623,B,1,4.0,1,1451586,2012.0
2628,D,6,5.0,1,1451591,2012.0
2633,E,3,5.0, ,1451593,2012.0
2638,E,3,5.0, ,1451596,2012.0
2643,H,6,5.0,1,1451598,2012.0
2648,8,9,4.0, ,1451601,2012.0
2651,B,1,5.0,1,1451604,2012.0
2656,C,5,5.0, ,1451605,2012.0
2661,B,6,5.0,5,1451608,2012.0
2666,C,5,5.0,1,1451610,2012.0
2671,H,6,5.0,1,1451612,2012.0
2676,C,3,5.0, ,1451616,2012.0
2681,B,1,5.0,1,1451618,2012.0
2686,E,3,5.0, ,1451620,2012.0
2691,B,6,5.0, ,1451625,2012.0
2696,H,6,5.0,1,1451628,2012.0
2701,B,6,5.0,3,1451630,2012.0
2706,B,6,5.0, ,1451632,2012.0
2711,C,3,4.0,3,1451634,2012.0
2716,E,3,4.0, ,1451638,2012.0
2721,B,1,4.0,1,1451639,2012.0
2726,B,1,5.0,1,1451642,2012.0
2731,E,3,5.0, ,1451656,2012.0
2736,E,3,5.0,5,1451657,2012.0
2741,2,5,4.0, ,1451666,2012.0
2745,E,3,5.0, ,1451668,2012.0
2750,B,6,5.0,3,1451671,2012.0
2755,H,6,5.0,1,1451703,2012.0
2760,B,6,5.0,3,1451707,2012.0
2765,E,3,5.0, ,1451713,2012.0
2770,E,3,5.0, ,1451722,2012.0
2777,C,5,5.0, ,1451723,2012.0
2782,8,9,5.0, ,1451733,2012.0
2785,B,1,5.0,1,1451741,2012.0
2790,E,3,4.0,1,1451744,2012.0
2795,J,-,5.0, ,1451746,2012.0
2800,B,1,5.0,1,1451749,2012.0
2805,8,9,5.0, ,1451752,2012.0
2808,C,5,5.0,5,1451753,2012.0
2813,8,9,5.0, ,1451754,2012.0
2816,B,1,4.0,1,1451757,2012.0
2823,E,3,4.0, ,1451760,2012.0
2828,E,3,4.0, ,1451762,2012.0
2835,E,3,4.0, ,1451764,2012.0
2842,C,5,5.0, ,1451765,2012.0
2847,B,6,4.0, ,1451766,2012.0
2852,3,0,2.0,1,1451768,2012.0
2856,B,6,4.0, ,1451770,2012.0
2861,E,3,5.0, ,1451773,2012.0
2868,E,3,4.0, ,1451774,2012.0
2873,B,1,4.0,1,1451775,2012.0
2878,E,3,4.0, ,1451777,2012.0
2884,C,3,2.0, ,1451779,2012.0
2890,B,6,5.0,3,1451780,2012.0
2895,B,1,4.0,1,1451781,2012.0
2903,G,2,4.0, ,1451782,2012.0
2910,2,1,4.0, ,1451783,2012.0
2917,8,9,4.0,1,1451786,2012.0
2920,B,1,4.0,1,1451791,2012.0
2925,8,9,5.0, ,1451794,2012.0
2928,B,1,4.0,1,1451796,2012.0
2935,8,9,5.0,3,1451798,2012.0
2938,6,6,4.0, ,1451800,2012.0
2942,8,9,5.0,3,1451801,2012.0
2947,E,3,5.0, ,1451802,2012.0
2952,H,6,5.0,1,1451806,2012.0
2957,B,1,5.0, ,1451807,2012.0
2962,8,9,5.0, ,1451810,2012.0
2965,A,-,4.0, ,1451812,2012.0
2971,D,6,5.0,1,1451816,2012.0
2976,8,9,4.0,3,1451820,2012.0
2979,E,3,4.0, ,1451824,2012.0
2984,E,3,5.0,1,1451826,2012.0
2989,H,6,4.0,3,1451829,2012.0
2994,E,3,4.0, ,1451834,2012.0
3002,8,9,5.0, ,1451836,2012.0
3005,E,3,5.0,3,1451867,2012.0
3010,8,9,4.0, ,1451869,2012.0
3013,B,1,4.0,1,1451870,2012.0
3019,B,1,5.0,1,1451880,2012.0
3024,E,3,5.0, ,1451890,2012.0
3029,B,1,5.0,1,1451897,2012.0
3034,E,3,5.0,3,1451902,2012.0
3040,E,3,4.0, ,1451915,2012.0
3045,B,6,5.0, ,1451919,2012.0
3050,B,1,4.0,1,1451937,2012.0
3056,C,5,5.0, ,1451939,2012.0
3061,2,3,5.0, ,1451948,2012.0
3065,H,6,4.0,1,1451950,2012.0
3070,B,6,4.0,3,1451994,2012.0
3075,2,3,5.0, ,1452013,2012.0
3079,B,1,5.0,1,1452029,2012.0
3084,B,1,5.0,3,1452031,2012.0
3089,B,1,5.0,1,1452036,2012.0
3094,8,9,5.0,1,1452039,2012.0
3097,E,3,4.0, ,1452042,2012.0
3102,E,3,4.0,1,1452044,2012.0
3107,3,0,4.0,1,1452046,2012.0
3111,H,6,5.0,1,1452053,2012.0
3116,B,6,4.0,1,1452055,2012.0
3122,B,1,5.0,1,1452057,2012.0
3127,&,8,5.0, ,1452058,2012.0
3130,B,1,4.0,3,1452059,2012.0
3135,2,5,5.0, ,1452062,2012.0
3139,C,5,4.0, ,1452066,2012.0
3144,2,5,5.0, ,1452071,2012.0
3148,8,9,5.0, ,1452074,2012.0
3153,J,6,5.0,1,1452076,2012.0
3158,E,3,5.0,1,1452079,2012.0
3163,B,1,4.0,1,1452083,2012.0
3170,E,3,5.0, ,1452084,2012.0
3175,B,6,5.0,3,1452086,2012.0
3180,B,1,4.0,1,1452088,2012.0
3185,E,3,4.0,1,1452090,2012.0
3190,8,9,4.0, ,1452092,2012.0
3194,D,6,5.0, ,1452096,2012.0
3199,E,3,4.0, ,1452097,2012.0
3205,E,3,5.0, ,1452102,2012.0
3210,3,0,4.0,1,1452105,2012.0
3214,I,-,5.0, ,1452109,2012.0
3219,B,1,4.0,3,1452114,2012.0
3224,B,1,4.0,1,1452118,2012.0
3229,E,3,4.0,1,1452121,2012.0
3236,E,3,4.0,1,1452124,2012.0
3243,C,5,5.0, ,1452129,2012.0
3250,C,5,5.0, ,1452143,2012.0
3255,E,3,4.0,1,1452149,2012.0
3260,E,3,5.0,1,1452152,2012.0
3266,2,2,5.0, ,1452156,2012.0
3270,E,3,5.0,5,1452163,2012.0
3275,C,5,4.0, ,1452168,2012.0
3280,B,6,5.0,3,1452186,2012.0
3285,E,3,5.0, ,1452190,2012.0
3290,B,1,5.0,1,1452219,2012.0
3295,B,1,5.0,1,1452236,2012.0
3300,E,3,5.0, ,1452241,2012.0
3305,8,9,4.0, ,1452245,2012.0
3309,H,6,4.0,1,1452250,2012.0
3314,3,0,4.0, ,1452253,2012.0
3318,8,9,4.0,3,1452266,2012.0
3321,3,0,4.0, ,1452272,2012.0
3325,3,0,4.0,1,1452275,2012.0
3329,B,1,5.0,1,1452277,2012.0
